# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.4 (Aug 2023); http://hmmer.org/
# Copyright (C) 2023 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  PF00847.hmm
# target sequence database:        protein.faa
# sequence reporting threshold:    E-value <= 1e-05
# domain reporting threshold:      E-value <= 1e-05
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       AP2  [M=54]
Accession:   PF00847.26
Description: AP2 domain
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence     Description
    ------- ------ -----    ------- ------ -----   ---- --  --------     -----------
    1.3e-23   84.2  13.6    4.8e-12   47.2   4.1    2.5  2  KAJ8632860.1  hypothetical protein MRB53_026196 [Persea ameri
    4.6e-23   82.5  14.5    1.5e-11   45.6   5.0    2.5  2  KAJ8649923.1  hypothetical protein MRB53_002946 [Persea ameri
    8.2e-23   81.6  12.4    5.1e-11   43.9   2.5    2.5  2  KAJ8648561.1  hypothetical protein MRB53_001584 [Persea ameri
    1.1e-22   81.3  10.6      4e-11   44.2   1.8    2.4  2  KAJ8646540.1  hypothetical protein MRB53_008288 [Persea ameri
    2.3e-22   80.2  12.7    3.1e-11   44.6   1.8    2.4  2  KAJ8634742.1  hypothetical protein MRB53_009009 [Persea ameri
    3.4e-22   79.7  11.2    1.5e-11   45.6   5.0    2.6  2  KAJ8637513.1  hypothetical protein MRB53_011780 [Persea ameri
    4.4e-22   79.3   9.0    2.3e-11   45.0   3.8    2.6  2  KAJ8617123.1  hypothetical protein MRB53_013309 [Persea ameri
    2.2e-21   77.1  10.0    5.5e-11   43.8   4.7    2.5  2  KAJ8615786.1  hypothetical protein MRB53_035158 [Persea ameri
    2.9e-21   76.7  12.9    1.6e-11   45.5   4.0    2.7  2  KAJ8621342.1  hypothetical protein MRB53_029871 [Persea ameri
      4e-21   76.2  11.8      7e-12   46.7   3.1    2.7  2  KAJ8638250.1  hypothetical protein MRB53_012517 [Persea ameri
    1.2e-20   74.7  14.2    8.3e-12   46.4   3.1    3.1  2  KAJ8645368.1  hypothetical protein MRB53_007116 [Persea ameri
    2.8e-20   73.6  10.0    9.7e-10   39.8   3.0    2.4  2  KAJ8620891.1  hypothetical protein MRB53_029420 [Persea ameri
    3.3e-20   73.3  10.9    6.8e-11   43.5   2.5    2.8  2  KAJ8640777.1  hypothetical protein MRB53_017471 [Persea ameri
    5.7e-20   72.6   9.1    1.2e-09   39.5   3.0    2.6  2  KAJ8637808.1  hypothetical protein MRB53_012075 [Persea ameri
    7.3e-20   72.2   8.8    9.8e-10   39.8   2.1    3.0  2  KAJ8640649.1  hypothetical protein MRB53_017343 [Persea ameri
    8.9e-19   68.7  11.3    3.6e-11   44.4   1.3    2.4  2  KAJ8617289.1  hypothetical protein MRB53_013475 [Persea ameri
    5.7e-18   66.2  11.2      1e-08   36.6   0.2    2.6  2  KAJ8634603.1  hypothetical protein MRB53_008870 [Persea ameri
    2.9e-16   60.7   1.9    6.9e-16   59.5   1.9    1.7  1  KAJ8647814.1  hypothetical protein MRB53_000837 [Persea ameri
    3.4e-16   60.5   5.5    4.3e-16   60.1   5.5    1.1  1  KAJ8623726.1  hypothetical protein MRB53_032256 [Persea ameri
    5.4e-16   59.8   2.7    7.8e-16   59.3   0.2    2.2  1  KAJ8626470.1  hypothetical protein MRB53_019777 [Persea ameri
    5.6e-16   59.8   3.7    8.5e-16   59.2   3.7    1.3  1  KAJ8623728.1  hypothetical protein MRB53_032258 [Persea ameri
    5.8e-16   59.7   0.6    8.9e-16   59.1   0.6    1.3  1  KAJ8619486.1  hypothetical protein MRB53_028015 [Persea ameri
    6.3e-16   59.6   4.1    1.1e-15   58.8   4.1    1.4  1  KAJ8626095.1  hypothetical protein MRB53_019402 [Persea ameri
    6.5e-16   59.6   2.1    1.1e-15   58.9   2.1    1.4  1  KAJ8649465.1  hypothetical protein MRB53_002488 [Persea ameri
    6.7e-16   59.5   2.6    1.1e-15   58.8   2.6    1.4  1  KAJ8651156.1  hypothetical protein MRB53_004179 [Persea ameri
    7.2e-16   59.4   2.0    7.2e-16   59.4   2.0    1.7  1  KAJ8626094.1  hypothetical protein MRB53_019401 [Persea ameri
    9.4e-16   59.1   2.1    1.5e-15   58.4   2.1    1.3  1  KAJ8630740.1  hypothetical protein MRB53_024063 [Persea ameri
    1.1e-15   58.9   3.3    1.8e-15   58.1   3.3    1.4  1  KAJ8627826.1  hypothetical protein MRB53_021133 [Persea ameri
    1.1e-15   58.8   2.0    1.9e-15   58.1   2.0    1.4  1  KAJ8632114.1  hypothetical protein MRB53_025450 [Persea ameri
    1.1e-15   58.8   1.3    1.8e-15   58.1   1.3    1.4  1  KAJ8619188.1  hypothetical protein MRB53_015374 [Persea ameri
    1.3e-15   58.6   2.7    1.4e-15   58.5   0.2    2.2  1  KAJ8626452.1  hypothetical protein MRB53_019759 [Persea ameri
    1.4e-15   58.5   0.3    1.4e-15   58.5   0.3    2.0  1  KAJ8650146.1  hypothetical protein MRB53_003169 [Persea ameri
    1.5e-15   58.4   5.5    1.9e-15   58.0   5.5    1.2  1  KAJ8648246.1  hypothetical protein MRB53_001269 [Persea ameri
    1.8e-15   58.1   0.2    2.9e-15   57.5   0.2    1.3  1  KAJ8650148.1  hypothetical protein MRB53_003171 [Persea ameri
    1.9e-15   58.1   0.6    3.9e-15   57.1   0.6    1.5  1  KAJ8650010.1  hypothetical protein MRB53_003033 [Persea ameri
      2e-15   58.0   4.9    3.1e-15   57.4   4.9    1.3  1  KAJ8625173.1  hypothetical protein MRB53_033703 [Persea ameri
      2e-15   58.0   2.3    3.6e-15   57.2   2.3    1.5  1  KAJ8634023.1  hypothetical protein MRB53_027359 [Persea ameri
    2.2e-15   57.9   0.3    2.2e-15   57.9   0.3    2.0  1  KAJ8626474.1  hypothetical protein MRB53_019781 [Persea ameri
    2.3e-15   57.8   0.3    2.3e-15   57.8   0.3    1.6  1  KAJ8638676.1  hypothetical protein MRB53_012943 [Persea ameri
    2.4e-15   57.8   2.3    5.1e-15   56.7   2.3    1.6  1  KAJ8650863.1  hypothetical protein MRB53_003886 [Persea ameri
    2.4e-15   57.7   1.0    4.1e-15   57.0   1.0    1.4  1  KAJ8623729.1  hypothetical protein MRB53_032259 [Persea ameri
    2.5e-15   57.7   0.2    2.5e-15   57.7   0.2    2.0  1  KAJ8626472.1  hypothetical protein MRB53_019779 [Persea ameri
    2.6e-15   57.6  10.0    1.8e-07   32.6   5.2    2.4  2  KAJ8642659.1  hypothetical protein MRB53_004407 [Persea ameri
    2.9e-15   57.5   1.7    4.4e-15   56.9   1.7    1.3  1  KAJ8647128.1  hypothetical protein MRB53_000151 [Persea ameri
    2.9e-15   57.5   0.2    4.5e-15   56.9   0.2    1.3  1  KAJ8641470.1  hypothetical protein MRB53_018164 [Persea ameri
    3.4e-15   57.3   4.8    5.2e-15   56.7   4.8    1.3  1  KAJ8634875.1  hypothetical protein MRB53_009142 [Persea ameri
    3.4e-15   57.3   0.3      6e-15   56.5   0.3    1.4  1  KAJ8626446.1  hypothetical protein MRB53_019753 [Persea ameri
    3.5e-15   57.2   2.5    5.6e-15   56.6   2.5    1.3  1  KAJ8616420.1  hypothetical protein MRB53_035792 [Persea ameri
    3.9e-15   57.1   2.3    7.6e-15   56.1   2.3    1.5  1  KAJ8615102.1  hypothetical protein MRB53_034474 [Persea ameri
    4.1e-15   57.0   1.7    6.3e-15   56.4   1.7    1.3  1  KAJ8625725.1  hypothetical protein MRB53_034255 [Persea ameri
    4.2e-15   57.0   2.3    7.8e-15   56.1   2.3    1.5  1  KAJ8626386.1  hypothetical protein MRB53_019693 [Persea ameri
    4.3e-15   56.9   2.3    7.2e-15   56.2   2.3    1.4  1  KAJ8632742.1  hypothetical protein MRB53_026078 [Persea ameri
    4.6e-15   56.8   1.8    9.4e-15   55.8   1.8    1.6  1  KAJ8616255.1  hypothetical protein MRB53_035627 [Persea ameri
    4.8e-15   56.8   2.9      8e-15   56.1   2.9    1.4  1  KAJ8636979.1  hypothetical protein MRB53_011246 [Persea ameri
